"filename", "language", "Gradle", "Markdown", "Batch", "Java Properties", "Java", "comment", "blank", "total"
"/home/soup/Documents/Code/Java/Game/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"/home/soup/Documents/Code/Java/Game/app/bin/main/org/game/App.class", "Java", 0, 0, 0, 0, 19, 0, 0, 19
"/home/soup/Documents/Code/Java/Game/app/bin/main/org/game/components/World.class", "Java", 0, 0, 0, 0, 18, 0, 0, 18
"/home/soup/Documents/Code/Java/Game/app/build.gradle", "Gradle", 30, 0, 0, 0, 0, 13, 13, 56
"/home/soup/Documents/Code/Java/Game/app/src/main/java/org/game/App.java", "Java", 0, 0, 0, 0, 36, 0, 17, 53
"/home/soup/Documents/Code/Java/Game/app/src/main/java/org/game/components/Player.java", "Java", 0, 0, 0, 0, 36, 0, 9, 45
"/home/soup/Documents/Code/Java/Game/app/src/main/java/org/game/components/Tile/Tile.java", "Java", 0, 0, 0, 0, 15, 0, 6, 21
"/home/soup/Documents/Code/Java/Game/app/src/main/java/org/game/components/Tile/TileLayer.java", "Java", 0, 0, 0, 0, 14, 0, 5, 19
"/home/soup/Documents/Code/Java/Game/app/src/main/java/org/game/components/Tile/ToolType.java", "Java", 0, 0, 0, 0, 6, 0, 2, 8
"/home/soup/Documents/Code/Java/Game/app/src/main/java/org/game/components/World.java", "Java", 0, 0, 0, 0, 14, 0, 11, 25
"/home/soup/Documents/Code/Java/Game/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 7, 0, 0, 1, 8
"/home/soup/Documents/Code/Java/Game/gradlew.bat", "Batch", 0, 0, 41, 0, 0, 32, 22, 95
"/home/soup/Documents/Code/Java/Game/settings.gradle", "Gradle", 5, 0, 0, 0, 0, 7, 3, 15
"Total", "-", 35, 2, 41, 7, 158, 52, 90, 385
